IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,INDEX CODE,INCLUDE
430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,I,YES
440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,N,YES
450,BATTERY,AGGRAVATED PO: HANDGUN,I,YES
451,BATTERY,AGGRAVATED PO: OTHER FIREARM,I,YES
452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR,I,YES
453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,I,YES
454,BATTERY,AGG PO HANDS NO/MIN INJURY,N,YES
460,BATTERY,SIMPLE,N,YES
461,BATTERY,AGG PO HANDS ETC SERIOUS INJ,I,YES
462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,I,YES
470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,N,YES
475,BATTERY,OF UNBORN CHILD,N,YES
479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,I,YES
480,BATTERY,AGG PRO.EMP: HANDGUN,I,YES
481,BATTERY,AGG PRO.EMP: OTHER FIREARM,I,YES
482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST,I,YES
483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,I,YES
484,BATTERY,PRO EMP HANDS NO/MIN INJURY,N,YES
485,BATTERY,AGGRAVATED OF A CHILD,I,YES
486,BATTERY,DOMESTIC BATTERY SIMPLE,N,YES
487,BATTERY,AGGRAVATED OF A UNBORN CHILD,I,YES
488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,I,YES
489,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM,I,YES
490,RITUALISM,AGG RITUAL MUT:HANDGUN,I,YES
491,RITUALISM,AGG RITUAL MUT:OTHER FIREARM,I,YES
492,RITUALISM,AGG RITUAL MUT:KNIFE/CUTTING I,I,YES
493,RITUALISM,AGG RITUAL MUT:OTH DANG WEAPON,I,YES
494,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET NO/MINOR INJURY,N,YES
495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,I,YES
496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,I,YES
497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,I,YES
498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,I,YES
510,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET SERIOUS INJURY,I,YES
051A,ASSAULT,AGGRAVATED: HANDGUN,I,YES
051B,ASSAULT,AGGRAVATED: OTHER FIREARM,I,YES
520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,I,YES
530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,I,YES
545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,N,YES
550,ASSAULT,AGGRAVATED PO: HANDGUN,I,YES
551,ASSAULT,AGGRAVATED PO: OTHER FIREARM,I,YES
552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,I,YES
553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,I,YES
554,ASSAULT,AGG PO HANDS NO/MIN INJURY,N,YES
555,ASSAULT,AGG PRO.EMP: HANDGUN,I,YES
556,ASSAULT,AGG PRO.EMP: OTHER FIREARM,I,YES
557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,I,YES
558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,I,YES
560,ASSAULT,SIMPLE,N,YES
580,STALKING,SIMPLE,N,NO
581,STALKING,AGGRAVATED,N,NO
583,STALKING,CYBERSTALKING,N,NO
584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,N,NO
610,BURGLARY,FORCIBLE ENTRY,I,YES
620,BURGLARY,UNLAWFUL ENTRY,I,YES
630,BURGLARY,ATTEMPT FORCIBLE ENTRY,I,YES
650,BURGLARY,HOME INVASION,I,YES
810,THEFT,OVER $500,I,YES
820,THEFT,$500 AND UNDER,I,YES
850,THEFT,ATTEMPT THEFT,I,YES
860,THEFT,RETAIL THEFT,I,YES
865,THEFT,DELIVERY CONTAINER THEFT,I,YES
870,THEFT,POCKET-PICKING,I,YES
880,THEFT,PURSE-SNATCHING,I,YES
890,THEFT,FROM BUILDING,I,YES
895,THEFT,FROM COIN-OP MACHINE/DEVICE,I,YES
910,MOTOR VEHICLE THEFT,AUTOMOBILE,I,YES
915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",I,YES
917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",I,YES
918,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",I,YES
920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,I,YES
925,MOTOR VEHICLE THEFT,"ATT: TRUCK, BUS, MOTOR HOME",I,YES
927,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",I,YES
928,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",I,YES
930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,I,YES
935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",I,YES
937,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",I,YES
938,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN",I,YES
1010,ARSON,BY EXPLOSIVE,I,YES
1020,ARSON,BY FIRE,I,YES
1025,ARSON,AGGRAVATED,I,YES
1030,ARSON,POS: EXPLOSIVE/INCENDIARY DEV,N,YES
1035,ARSON,POS: CHEMICAL/DRY-ICE DEVICE,N,YES
1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,N,NO
1055,HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE,N,NO
1090,ARSON,ATTEMPT ARSON,I,YES
1110,DECEPTIVE PRACTICE,BOGUS CHECK,N,NO
1120,DECEPTIVE PRACTICE,FORGERY,N,NO
1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,N,NO
1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,N,NO
1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,N,NO
1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,N,NO
1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,N,NO
1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,N,NO
1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,N,NO
1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,N,NO
1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,N,NO
1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,N,NO
1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,N,NO
1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,N,NO
1160,DECEPTIVE PRACTICE,ALTER COINS,N,NO
1170,DECEPTIVE PRACTICE,IMPERSONATION,N,NO
1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,N,NO
1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,N,NO
1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,N,NO
1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",N,NO
1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",N,NO
1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,N,NO
1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,N,NO
1230,DECEPTIVE PRACTICE,POSS. KEYS OR DEV.TO COIN MACH,N,NO
1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,N,NO
1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,N,NO
1241,DECEPTIVE PRACTICE,AGGRAVATED COMPUTER TAMPERING,N,NO
1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,N,NO
1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,N,NO
1255,DECEPTIVE PRACTICE,UNIDENTIFIABLE RECORDING SOUND,N,NO
1260,DECEPTIVE PRACTICE,LIBRARY THEFT,N,NO
1624,GAMBLING,LOTTERY/PARI-MUTUEL,N,NO
1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,N,NO
1265,CRIMINAL DAMAGE,LIBRARY VANDALISM,N,NO
1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,N,NO
1310,CRIMINAL DAMAGE,TO PROPERTY,N,NO
1320,CRIMINAL DAMAGE,TO VEHICLE,N,NO
1330,CRIMINAL TRESPASS,TO LAND,N,NO
1335,CRIMINAL TRESPASS,TO AIRPORT,N,NO
1340,CRIMINAL DAMAGE,TO STATE SUP PROP,N,NO
1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,N,NO
1350,CRIMINAL TRESPASS,TO STATE SUP LAND,N,NO
1360,CRIMINAL TRESPASS,TO VEHICLE,N,NO
1365,CRIMINAL TRESPASS,TO RESIDENCE,N,NO
1370,CRIMINAL DAMAGE,TO FIRE FIGHT.APP.EQUIP,N,NO
1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,N,NO
141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,N,YES
141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,N,YES
141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,N,YES
142A,WEAPONS VIOLATION,UNLAWFUL SALE HANDGUN,N,YES
142B,WEAPONS VIOLATION,UNLAWFUL SALE OTHER FIREARM,N,YES
1435,WEAPONS VIOLATION,UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,N,YES
143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,N,YES
143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,N,YES
143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,N,YES
1440,WEAPONS VIOLATION,REGISTER OF SALES BY DEALER,N,YES
1450,WEAPONS VIOLATION,DEFACE IDENT MARKS OF FIREARM,N,YES
1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,N,YES
1475,WEAPONS VIOLATION,SALE OF METAL PIERCING BULLETS,N,YES
1476,WEAPONS VIOLATION,USE OF METAL PIERCING BULLETS,N,YES
1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,N,YES
1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,N,YES
1479,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE,N,YES
1480,CONCEALED CARRY LICENSE VIOLATION,OTHER,N,YES
1481,NON-CRIMINAL,CONCEALED CARRY LICENSE REVOCATION,N,NO
1505,PROSTITUTION,CALL OPERATION,N,YES
1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,N,YES
1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY,N,YES
1510,PROSTITUTION,CAB OPERATION,N,YES
1511,PROSTITUTION,IN TAVERN,N,YES
1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,N,YES
1513,PROSTITUTION,SOLICIT FOR BUSINESS,N,YES
1515,PROSTITUTION,PANDERING,N,YES
1520,PROSTITUTION,KEEP PLACE OF PROSTITUTION,N,YES
1521,PROSTITUTION,KEEP PLACE OF JUV PROSTITUTION,N,YES
1525,PROSTITUTION,PATRONIZING A PROSTITUTE,N,YES
1526,PROSTITUTION,PATRONIZE JUVENILE PROSTITUTE,N,YES
1530,PROSTITUTION,PIMPING,N,YES
1531,PROSTITUTION,JUVENILE PIMPING,N,YES
1535,OBSCENITY,OBSCENITY,N,NO
1536,PUBLIC INDECENCY,LICENSED PREMISE,N,NO
1537,OFFENSE INVOLVING CHILDREN,POS: PORNOGRAPHIC PRINT,N,NO
1540,OBSCENITY,OBSCENE MATTER,N,NO
1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,N,NO
1542,OBSCENITY,SALE OF OBSCENE MATERIALS,N,NO
1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,N,YES
1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE,N,YES
1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,N,YES
1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,N,YES
1564,SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV,N,YES
1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,N,YES
1566,SEX OFFENSE,INDECENT SOLICITATION/ADULT,N,YES
1570,SEX OFFENSE,PUBLIC INDECENCY,N,YES
1572,SEX OFFENSE,ADULTRY,N,YES
1574,SEX OFFENSE,FORNICATION,N,YES
1576,SEX OFFENSE,BIGAMY,N,YES
1578,SEX OFFENSE,MARRYING A BIGAMIST,N,YES
1580,SEX OFFENSE,SEX RELATION IN FAMILY,N,YES
1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,N,YES
1585,SEX OFFENSE,OTHER,N,YES
1590,SEX OFFENSE,ATT AGG CRIMINAL SEXUAL ABUSE,N,YES
1610,GAMBLING,BOOKMAKING/HORSES,N,NO
1611,GAMBLING,BOOKMAKING/SPORTS,N,NO
1620,GAMBLING,BOLITA OR BOLI PUL/OFFICE,N,NO
1621,GAMBLING,BOLITA OR BOLI PUL/RUNNER,N,NO
1622,GAMBLING,BOLITA OR BOLI PUL/WRITER,N,NO
1623,GAMBLING,BOLITA OR BOLI PUL/STATION,N,NO
1625,GAMBLING,NATIONAL LOTTERY,N,NO
1626,GAMBLING,ILLEGAL ILL LOTTERY,N,NO
1627,GAMBLING,LOTTERY/OTHER,N,NO
1630,GAMBLING,WIREROOM/HORSES,N,NO
1631,GAMBLING,WIREROOM/SPORTS,N,NO
1632,GAMBLING,WIREROOM/NUMBERS,N,NO
1633,GAMBLING,SPORTS TAMPERING,N,NO
1640,GAMBLING,REGISTER FED GAMBLING STAMP,N,NO
1650,GAMBLING,VIOL CHARITABLE GAME ACT,N,NO
1651,GAMBLING,GAME/CARDS,N,NO
1661,GAMBLING,GAME/DICE,N,NO
1670,GAMBLING,GAME/AMUSEMENT DEVICE,N,NO
1680,GAMBLING,OTHER,N,NO
1681,GAMBLING,LOTTERY/PARLAY CARDS,N,NO
1682,OTHER OFFENSE,ANIMAL FIGHTING,N,NO
1690,GAMBLING,POLICY/HOUSEBOOK,N,NO
1691,GAMBLING,POLICY/STATION,N,NO
1692,GAMBLING,POLICY/RUNNER,N,NO
1693,GAMBLING,POLICY/TURN-IN,N,NO
1694,GAMBLING,POLICY/OFFICE,N,NO
1695,GAMBLING,POLICY/PRESS,N,NO
1696,GAMBLING,POLICY/WHEEL,N,NO
1697,GAMBLING,POLICY/OTHER,N,NO
1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,N,NO
1715,OFFENSE INVOLVING CHILDREN,SALE TOBACCO PRODUCTS TO MINOR,N,NO
1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,N,NO
1725,OFFENSE INVOLVING CHILDREN,CONTRIBUTE CRIM DELINQUENCY JUVENILE,N,NO
1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,N,NO
1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,N,NO
1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,N,NO
1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,I,NO
1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,I,NO
1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,N,NO
1775,OFFENSE INVOLVING CHILDREN,SALE OF TRAVEL TICKET TO MINOR,N,NO
1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,N,NO
1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,N,NO
1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,N,NO
1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,N,YES
1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,N,YES
1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,N,YES
1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,N,YES
1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,N,YES
1840,NARCOTICS,DELIVER CANNABIS TO PERSON <18,N,YES
1850,NARCOTICS,CANNABIS PLANT,N,YES
1860,NARCOTICS,CALCULATED CANNABIS CONSPIRACY,N,YES
1900,OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS,N,YES
2010,NARCOTICS,MANU/DELIVER:AMPHETAMINES,N,YES
2011,NARCOTICS,MANU/DELIVER:BARBITUATES,N,YES
2012,NARCOTICS,MANU/DELIVER:COCAINE,N,YES
2013,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN),N,YES
2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),N,YES
2015,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,N,YES
2016,NARCOTICS,MANU/DELIVER:PCP,N,YES
2017,NARCOTICS,MANU/DELIVER:CRACK,N,YES
2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,N,YES
2019,NARCOTICS,MANU/DELIVER:HEROIN(BLACK TAR),N,YES
2020,NARCOTICS,POSS: AMPHETAMINES,N,YES
2021,NARCOTICS,POSS: BARBITUATES,N,YES
2022,NARCOTICS,POSS: COCAINE,N,YES
2023,NARCOTICS,POSS: HEROIN(BRN/TAN),N,YES
2024,NARCOTICS,POSS: HEROIN(WHITE),N,YES
2025,NARCOTICS,POSS: HALLUCINOGENS,N,YES
2026,NARCOTICS,POSS: PCP,N,YES
2027,NARCOTICS,POSS: CRACK,N,YES
2028,NARCOTICS,POSS: SYNTHETIC DRUGS,N,YES
2029,NARCOTICS,POSS: HEROIN(BLACK TAR),N,YES
2030,NARCOTICS,MANU/DELIVER:LOOK-ALIKE DRUG,N,YES
2031,NARCOTICS,POSS: METHAMPHETAMINES,N,YES
2032,NARCOTICS,MANU/DELIVER: METHAMPHETAMINES,N,YES
2033,NARCOTICS,MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,N,YES
2034,NARCOTICS,POSSESSION: SYNTHETIC MARIJUANA,N,YES
2040,NARCOTICS,POSS: LOOK-ALIKE DRUGS,N,YES
2050,NARCOTICS,CRIMINAL DRUG CONSPIRACY,N,YES
2060,NARCOTICS,FAIL REGISTER LIC:CONT SUBS,N,YES
2070,NARCOTICS,DEL CONT SUBS TO PERSON <18,N,YES
2080,NARCOTICS,CONT SUBS:FAIL TO MAINT RECORD,N,YES
2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,N,YES
2091,NARCOTICS,FORFEIT PROPERTY,N,YES
2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,N,YES
2093,NARCOTICS,FOUND SUSPECT NARCOTICS,N,YES
2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,N,YES
2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,N,YES
2110,NARCOTICS,POS: HYPODERMIC NEEDLE,N,YES
2111,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE,N,YES
2120,NARCOTICS,FAILURE TO KEEP HYPO RECORDS,N,YES
2160,NARCOTICS,SALE/DEL DRUG PARAPHERNALIA,N,YES
2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,N,YES
2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,N,NO
2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,N,NO
2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,N,NO
2240,LIQUOR LAW VIOLATION,MINOR MISREPRESENT AGE,N,NO
2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,N,NO
2251,LIQUOR LAW VIOLATION,EMPLOY MINOR,N,NO
2500,CRIMINAL ABORTION,CRIMINAL ABORTION,N,NO
2820,OTHER OFFENSE,TELEPHONE THREAT,N,NO
2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,N,NO
2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,N,NO
2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,N,NO
2840,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,N,NO
2850,PUBLIC PEACE VIOLATION,BOMB THREAT,N,NO
2851,PUBLIC PEACE VIOLATION,ARSON THREAT,N,NO
2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,N,NO
2870,PUBLIC PEACE VIOLATION,PEEPING TOM,N,NO
2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,N,NO
2895,PUBLIC PEACE VIOLATION,INTERFERE W/ EMERGENCY EQUIP,N,NO
2900,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,N,NO
3000,PUBLIC PEACE VIOLATION,SELL/ADVERTISE FIREWORKS,N,NO
3100,PUBLIC PEACE VIOLATION,MOB ACTION,N,NO
3200,PUBLIC PEACE VIOLATION,ARMED VIOLENCE,N,NO
3300,PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,N,NO
3400,PUBLIC PEACE VIOLATION,LOOTING,N,NO
3610,OTHER OFFENSE,INTERFERE W/ HIGHER EDUCATION,N,NO
3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,N,NO
3720,INTERFERENCE WITH PUBLIC OFFICER,REFUSING TO AID AN OFFICER,N,NO
3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,N,NO
3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,N,NO
3740,INTERFERENCE WITH PUBLIC OFFICER,CONCEALING/AIDING A FUGITIVE,N,NO
3750,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,N,NO
3751,INTERFERENCE WITH PUBLIC OFFICER,AIDING ARRESTEE ESCAPE,N,NO
3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,N,NO
3770,INTERFERENCE WITH PUBLIC OFFICER,CONTRABAND IN PRISON,N,NO
3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,N,NO
3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,N,NO
3920,INTERFERENCE WITH PUBLIC OFFICER,OFFICIAL MISCONDUCT,N,NO
3960,INTIMIDATION,INTIMIDATION,N,NO
3966,INTIMIDATION,EDUCATIONAL INTIMIDAITON,N,NO
3970,INTIMIDATION,EXTORTION,N,NO
3975,INTIMIDATION,COMPELLING ORG MEMBERSHIP,N,NO
3980,INTIMIDATION,COMPELLING CONFESSION,N,NO
4210,KIDNAPPING,KIDNAPPING,N,YES
4220,KIDNAPPING,AGGRAVATED,N,YES
4230,KIDNAPPING,UNLAWFUL RESTRAINT,N,YES
4240,KIDNAPPING,FORCIBLE DETENTION,N,YES
4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,N,YES
4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,N,NO
4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,N,NO
4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,N,NO
4388,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE,N,NO
4389,OTHER OFFENSE ,VIOLATION GPS MONITORING DEVICE ,N,NO
4410,OTHER OFFENSE,DESTRUCTION OF DRAFT CARD,N,NO
4420,OTHER OFFENSE,CRIMINAL FORTIFICATION,N,NO
4510,OTHER OFFENSE,PROBATION VIOLATION,N,NO
4625,OTHER OFFENSE,PAROLE VIOLATION,N,NO
4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,N,NO
4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,N,NO
4652,OTHER OFFENSE,SEX OFFENDER: PROHIBITED ZONE,N,NO
4740,OTHER OFFENSE,UNLAWFUL USE OF BODY ARMOR,N,NO
4750,OTHER OFFENSE,DISCLOSE DV VICTIM LOCATION,N,NO
4800,OTHER OFFENSE,MONEY LAUNDERING,N,NO
4810,OTHER OFFENSE,COMPOUNDING A CRIME,N,NO
4860,OTHER OFFENSE,BOARD PLANE WITH WEAPON,N,NO
5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,N,NO
5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,N,NO
5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,N,NO
5003,OTHER OFFENSE,OTHER ARSON/EXPLOSIVE INCIDENT,N,NO
